"ISO";"COUNTRY";"YEAR";"DECILE 1 (MEAN INCOME)";"DECILE 2 (MEAN INCOME)";"DECILE 3 (MEAN INCOME)";"DECILE 4 (MEAN INCOME)";"DECILE 5 (MEAN INCOME)";"DECILE 6 (MEAN INCOME)";"DECILE 7 (MEAN INCOME)";"DECILE 8 (MEAN INCOME)";"DECILE 9 (MEAN INCOME)";"DECILE 10 (MEAN INCOME)"
"COG";"Congo, Republic of the";"2020";"123.39";"462.61";"791.58";"1130.83";"1555.75";"2018.36";"2624.9";"3608.38";"5314.9";"16708.88"
"COL";"Colombia";"2020";"1010.3";"2731.09";"4169.52";"5581.77";"7141.98";"9024.98";"11593.94";"15252.36";"21950.48";"56032.91"
"COM";"Comoros";"2020";"116.69";"451.82";"763.0";"1083.16";"1430.25";"1840.18";"2462.55";"3303.35";"4829.35";"13611.35"
"CPV";"Cape Verde";"2020";"484.82";"1163.56";"1715.04";"2278.64";"2993.74";"3793.69";"4872.41";"6557.15";"9659.98";"26931.58"
"CRI";"Costa Rica";"2020";"2799.16";"5396.39";"7193.81";"9192.09";"11190.37";"13987.97";"17784.7";"23779.55";"34570.26";"73137.09"
"CUB";"Cuba";"2020";"1895.6";"2743.15";"3408.43";"4173.96";"5057.97";"6078.67";"7299.88";"9323.06";"15091.88";"35961.69"
"CUW";"Curacao";"2020";"2558.92";"5667.78";"7692.06";"9599.24";"11938.35";"14504.93";"17897.02";"23092.46";"32792.81";"77259.64"
"CYM";"Cayman Islands";"2020";"8555.37";"18949.4";"25717.31";"32093.67";"39914.14";"48495.14";"59836.1";"77206.31";"109638.04";"258306.47"
"CYP";"Cyprus";"2020";"13183.93";"18864.9";"22289.15";"26054.21";"29706.32";"33358.43";"37763.55";"44352.4";"55007.52";"95971.37"
"CZE";"Czechia";"2020";"15682.07";"22878.51";"26303.84";"29115.21";"32465.72";"35585.2";"39513.42";"45290.18";"55110.7";"83147.83"
"DEU";"Germany";"2020";"15471.47";"24916.64";"30666.44";"35700.46";"41042.69";"46282.18";"53011.33";"61538.35";"75664.43";"129446.28"
"DJI";"Djibouti";"2020";"880.96";"1690.79";"2374.77";"2998.55";"3649.7";"4404.81";"5318.6";"6588.06";"8596.22";"18308.69"
"DMA";"Dominica";"2020";"759.13";"1959.3";"3026.14";"4051.95";"5272.66";"6585.69";"8350.09";"11078.74";"16279.59";"45525.4"
"DNK";"Denmark";"2020";"20718.78";"31816.73";"37394.49";"42361.9";"47050.14";"52631.47";"58491.8";"66919.61";"77914.51";"122899.65"
"DOM";"Dominican Republic";"2020";"3912.02";"6292.03";"8161.33";"9691.58";"11561.89";"13602.22";"16322.66";"20403.33";"27034.41";"53048.66"
"DZA";"Algeria";"2020";"3501.25";"4794.02";"5871.33";"7056.37";"8176.77";"9469.54";"10934.68";"13067.76";"16202.72";"28279.36"
"ECU";"Ecuador";"2020";"1765.63";"3218.68";"4256.19";"5294.29";"6228.57";"7578.1";"9239.05";"11626.67";"15882.87";"38201.93"
"EGY";"Egypt";"2020";"4064.92";"5569.86";"6620.99";"7577.09";"8604.89";"9800.02";"11305.87";"13265.88";"16671.98";"36032.99"
"ERI";"Eritrea";"2020";"284.95";"491.77";"698.58";"910.0";"1123.71";"1433.94";"1865.96";"2507.09";"3766.38";"9885.89"
"ESP";"Spain";"2020";"7288.87";"14928.03";"20069.19";"24525.05";"28944.63";"33509.21";"39269.13";"46296.98";"56657.79";"90710.51"
"EST";"Estonia";"2020";"10569.48";"17885.82";"21263.1";"23903.41";"27564.65";"31859.34";"37280.65";"44497.44";"55093.65";"82236.1"
"ETH";"Ethiopia";"2020";"336.41";"587.57";"834.12";"1048.41";"1288.05";"1576.07";"1928.62";"2460.89";"3414.83";"9493.31"
"FIN";"Finland";"2020";"17648.36";"25897.34";"30658.14";"34667.24";"38817.87";"43345.86";"48817.18";"56175.13";"67070.51";"108576.66"
"FJI";"Fiji";"2020";"3247.62";"4882.95";"6161.27";"7428.07";"8810.04";"10226.56";"12023.12";"14418.53";"18080.74";"29228.61"
"FRA";"France";"2020";"10542.2";"18870.22";"24620.58";"29485.55";"33969.78";"39088.57";"44545.76";"51525.9";"62567.18";"107916.2"
"FSM";"Micronesia, Federated States of";"2020";"639.9";"1205.7";"1566.06";"1923.06";"2296.89";"2724.61";"3273.57";"4048.18";"5327.97";"10679.52"
"GAB";"Gabon";"2020";"2455.75";"4122.16";"5247.71";"6665.62";"8507.43";"10568.51";"13462.79";"17789.6";"24966.83";"49422.04"
"GBR";"United Kingdom";"2020";"11959.56";"18845.31";"23606.7";"28200.44";"32879.24";"38281.14";"44193.45";"52445.16";"64907.8";"110037.01"
